#,Company,Symbol,YTD Return
275,ARCH CAPITAL GROUP LTD,ACGL,-1.77%
276,CARRIER GLOBAL CORP,CARR,-1.77%
277,LOWE S COS INC,LOW,-1.79%
278,BUNGE GLOBAL SA,BG,-1.86%
279,CENTENE CORP,CNC,-1.88%
280,EQUIFAX INC,EFX,-1.93%
281,S+P GLOBAL INC,SPGI,-1.94%
282,MATCH GROUP INC,MTCH,-2.08%
283,BALL CORP,BALL,-2.10%
284,ADOBE INC,ADBE,-2.16%
285,MARATHON PETROLEUM CORP,MPC,-2.32%
286,CDW CORP/DE,CDW,-2.60%
287,TJX COMPANIES INC,TJX,-2.65%
288,GARTNER INC,IT,-2.65%
289,UNIVERSAL HEALTH SERVICES B,UHS,-2.71%
290,NETFLIX INC,NFLX,-2.76%
291,WALMART INC,WMT,-2.80%
292,MOHAWK INDUSTRIES INC,MHK,-2.83%
293,JPMORGAN CHASE + CO,JPM,-3.12%
294,METLIFE INC,MET,-3.30%
295,HILTON WORLDWIDE HOLDINGS IN,HLT,-3.34%
296,HORMEL FOODS CORP,HRL,-3.51%
297,WW GRAINGER INC,GWW,-3.63%
298,CINCINNATI FINANCIAL CORP,CINF,-3.65%
299,HOME DEPOT INC,HD,-3.69%
300,ASSURANT INC,AIZ,-3.71%
301,SCHWAB (CHARLES) CORP,SCHW,-3.74%
302,COMCAST CORP CLASS A,CMCSA,-3.78%
303,ESTEE LAUDER COMPANIES CL A,EL,-3.92%
304,IQVIA HOLDINGS INC,IQV,-3.93%
305,PPG INDUSTRIES INC,PPG,-3.98%
306,ELECTRONIC ARTS INC,EA,-4.01%
307,SIMON PROPERTY GROUP INC,SPG,-4.02%
308,CORPAY INC,CPAY,-4.06%
309,CBRE GROUP INC A,CBRE,-4.09%
310,CUMMINS INC,CMI,-4.12%
311,OCCIDENTAL PETROLEUM CORP,OXY,-4.15%
312,DR HORTON INC,DHI,-4.20%
313,CITIGROUP INC,C,-4.23%
314,MERCK + CO. INC.,MRK,-4.27%
315,JUNIPER NETWORKS INC,JNPR,-4.30%
316,UNITED PARCEL SERVICE CL B,UPS,-4.35%
317,PALO ALTO NETWORKS INC,PANW,-4.47%
318,KINDER MORGAN INC,KMI,-4.60%
319,PARKER HANNIFIN CORP,PH,-4.63%
320,LEIDOS HOLDINGS INC,LDOS,-4.64%
321,ACCENTURE PLC CL A,ACN,-4.69%
322,KEYSIGHT TECHNOLOGIES IN,KEYS,-4.82%
323,CATERPILLAR INC,CAT,-4.84%
324,MOODY S CORP,MCO,-4.88%
325,WELLS FARGO + CO,WFC,-4.93%
326,INTL FLAVORS + FRAGRANCES,IFF,-4.99%
327,CSX CORP,CSX,-5.02%
328,UNITEDHEALTH GROUP INC,UNH,-5.07%
329,CHARLES RIVER LABORATORIES,CRL,-5.14%
330,BUILDERS FIRSTSOURCE INC,BLDR,-5.14%
331,LIVE NATION ENTERTAINMENT IN,LYV,-5.18%
332,EXPEDIA GROUP INC,EXPE,-5.22%
333,DOVER CORP,DOV,-5.26%
334,CORNING INC,GLW,-5.28%
335,HONEYWELL INTERNATIONAL INC,HON,-5.34%
336,ROCKWELL AUTOMATION INC,ROK,-5.40%
337,RALPH LAUREN CORP,RL,-5.45%
338,ANSYS INC,ANSS,-5.52%
339,NASDAQ INC,NDAQ,-5.77%
340,WORKDAY INC CLASS A,WDAY,-5.82%
341,TRIMBLE INC,TRMB,-5.87%
342,MARKETAXESS HOLDINGS INC,MKTX,-5.96%
343,NRG ENERGY INC,NRG,-5.99%
344,BORGWARNER INC,BWA,-6.10%
345,HUNT (JB) TRANSPRT SVCS INC,JBHT,-6.12%
346,CONOCOPHILLIPS,COP,-6.32%
347,MICROCHIP TECHNOLOGY INC,MCHP,-6.80%
348,DOW INC,DOW,-6.80%
349,TRUIST FINANCIAL CORP,TFC,-6.94%
350,PUBLIC SERVICE ENTERPRISE GP,PEG,-6.98%
351,FIFTH THIRD BANCORP,FITB,-7.10%
352,GOLDMAN SACHS GROUP INC,GS,-7.15%
353,INTERNATIONAL PAPER CO,IP,-7.28%
354,JABIL INC,JBL,-7.33%
355,WALT DISNEY CO/THE,DIS,-7.43%
356,EDWARDS LIFESCIENCES CORP,EW,-7.43%
357,WABTEC CORP,WAB,-7.43%
358,JACOBS SOLUTIONS INC,J,-7.51%
359,INTUITIVE SURGICAL INC,ISRG,-7.54%
360,M + T BANK CORP,MTB,-7.58%
361,INGERSOLL RAND INC,IR,-7.67%
362,INTUIT INC,INTU,-7.75%
363,APPLIED MATERIALS INC,AMAT,-7.77%
364,FACTSET RESEARCH SYSTEMS INC,FDS,-7.78%
365,MARRIOTT INTERNATIONAL CL A,MAR,-7.79%
366,ENPHASE ENERGY INC,ENPH,-7.80%
367,COPART INC,CPRT,-7.96%
368,MGM RESORTS INTERNATIONAL,MGM,-7.97%
369,BEST BUY CO INC,BBY,-8.09%
